Category,Grouping,Label,Field,New/DAAO,Field type,Multi-value field?,Taxonomy,Requirement,Notes
,,,Location,New,Geographic coordinates entry,No,Coordinates format,Required,
,,,Burial place,New,Free text entry,No,N/A,Recommended,
,,Gender,Gender shortlist,DAAO,Dropdown,No,From DAAO,Recommended,
,,,Gender freetext,New,Free text entry,No,N/A,Recommended,
,,,Is this the same gender you were assigned at birth?,New,Dropdown,No,AAB,Recommended,
,,Pronouns,Pronouns,New,Dropdown,No,Pronouns,Recommended,
,,Sexuality,Sexuality,New,Free text entry,No,N/A,Recommended,
,,Cultural heritage,Cultural heritage,New,Free text entry,Yes,N/A,Recommended,
,,Languages spoken at home,Language/dialect,DAAO: field there is just called 'Language',Dropdown,Yes - all fields with 'Languages spoken at home' label are replicated,ASCL 2016,Recommended,Taxonomy available here: https://www.abs.gov.au/statistics/classifications/australian-standard-classification-languages-ascl/latest-release
,,,Other (not in list),New,Free text entry,Yes - all fields with 'Languages spoken at home' label are replicated,N/A,Optional,
,,Languages spoken,Language/dialect,New,Dropdown,Yes - all fields with 'Languages spoken' label are replicated,ASCL 2016,Recommended,Taxonomy available here: https://www.abs.gov.au/statistics/classifications/australian-standard-classification-languages-ascl/latest-release
,,,Other (not in list),New,Free text entry,Yes - all fields with 'Languages spoken' label are replicated,N/A,Optional,
,,Languages known (to read and write),Language/dialect,New,Dropdown,Yes - all fields with 'Languages known (to read and write)' label are replicated,ASCL 2016,Recommended,Taxonomy available here: https://www.abs.gov.au/statistics/classifications/australian-standard-classification-languages-ascl/latest-release
,,,Other (not in list),New,Free text entry,Yes - all fields with 'Languages known (to read and write)' label are replicated,N/A,Optional,
,,Nationality,Nationality,New,Free text entry,Yes,N/A,Recommended,
,,Social position of self,Social position of self,New,Dropdown,No,Social position,Recommended,
,,Social position of family,Social position of family,New,Dropdown,No,Social position,Recommended,
,,Religion,Religion,New,Dropdown,Yes - all fields with 'Religion' label are replicated,ASCRG 2016,Recommended,Taxonomy available here: https://www.abs.gov.au/statistics/classifications/australian-standard-classification-religious-groups/latest-release
,,,Other (not in list),New,Free text entry,Yes - all fields with 'Religion' label are replicated,N/A,Optional,
,,Family,Nature of relationship,DAAO,Dropdown,Yes - all fields with 'Family' label are replicated,From DAAO,Optional,
,,,Social position,New,Dropdown,Yes - all fields with 'Family' label are replicated,Social position,Optional,
,,,Note,DAAO,Free text entry,Yes - all fields with 'Family' label are replicated,N/A,Optional,
,,,Person name search,DAAO,Foreign key to existing person entities,Yes - all fields with 'Family' label are replicated,N/A,Optional,
,Activity and mobility,Period active,Start,DAAO,Year entry,Yes - all fields with 'Period active' label are replicated,Year only,Required,
,,,Precision,DAAO,Dropdown,Yes - all fields with 'Period active' label are replicated,From DAAO,Required,
,,,Approximate,DAAO,Checkbox,Yes - all fields with 'Period active' label are replicated,N/A,Optional,
,,,End,DAAO,Year entry,Yes - all fields with 'Period active' label are replicated,Year only,Required,
,,,Precision,DAAO,Dropdown,Yes - all fields with 'Period active' label are replicated,From DAAO,Required,
,,,Approximate,DAAO,Checkbox,Yes - all fields with 'Period active' label are replicated,N/A,Optional,
,,,Place,New,Free text entry,Yes - all fields with 'Period active' label are replicated,N/A,Optional,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Period active' label are replicated,Coordinates format,Required,
,,Period of (Creative Practice and/or Professional Career) disruption,Start,New,Year entry,Yes - all fields with 'Period of disruption' label are replicated,Year only,Optional,
,,,Precision,New,Dropdown,Yes - all fields with 'Period of disruption' label are replicated,From DAAO: taxonomy for 'Precision' field,Optional,
,,,Approximate,New,Checkbox,Yes - all fields with 'Period of disruption' label are replicated,N/A,Optional,
,,,End,New,Year entry,Yes - all fields with 'Period of disruption' label are replicated,Year only,Optional,
,,,Precision,New,Dropdown,Yes - all fields with 'Period of disruption' label are replicated,From DAAO: taxonomy for 'Precision' field,Optional,
,,,Approximate,New,Checkbox,Yes - all fields with 'Period of disruption' label are replicated,N/A,Optional,
,,,Nature of disruption,New,Dropdown,Yes - all fields with 'Period of disruption' label are replicated,Nature of disruption,Optional,
,,,Reason,New,Dropdown,Yes - all fields with 'Period of disruption' label are replicated,Reason,Optional,
,,,Other (not in list),New,Free text entry,Yes - all fields with 'Period of disruption' label are replicated,N/A,Optional,
,,Place of residence,Start date,DAAO: label there is just 'Residences',Year entry,Yes - all fields with 'Place of residence' label are replicated,Year only,Required,
,,,Precision,DAAO: label there is just 'Residences',Dropdown,Yes - all fields with 'Place of residence' label are replicated,From DAAO,Required,
,,,Approximate,DAAO: label there is just 'Residences',Checkbox,Yes - all fields with 'Place of residence' label are replicated,N/A,Optional,
,,,End date,DAAO: label there is just 'Residences',Year entry,Yes - all fields with 'Place of residence' label are replicated,Year only,Required,
,,,Precision,DAAO: label there is just 'Residences',Dropdown,Yes - all fields with 'Place of residence' label are replicated,From DAAO,Required,
,,,Approximate,DAAO: label there is just 'Residences',Checkbox,Yes - all fields with 'Place of residence' label are replicated,N/A,Optional,
,,,Place,New,Free text entry,Yes - all fields with 'Place of residence' label are replicated,N/A,Required,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Place of residence' label are replicated,Coordinates format,Required,
,,,Note,DAAO: label there is just 'Residences',Free text entry,Yes - all fields with 'Place of residence' label are replicated,N/A,Optional,
,,Training and study,Self-trained,New,Checkbox,Yes - all fields with 'Training and study' label are replicated,N/A,Optional,
,,,Student of Studio/Atelier/Temple/Sanggar or equivalent,New,Checkbox,Yes - all fields with 'Training and study' label are replicated,N/A,Optional,
,,,Discipline or medium,New,Free text entry,Yes - all fields with 'Training and study' label are replicated,N/A,Recommended,
,,,Course name,DAAO: label there is just 'Training',Free text entry,Yes - all fields with 'Training and study' label are replicated,N/A,Recommended,
,,,Qualification,New,Free text entry,Yes - all fields with 'Training and study' label are replicated,N/A,Recommended,
,,,Start date,DAAO: label there is just 'Training',Year entry,Yes - all fields with 'Training and study' label are replicated,Year only,Recommended,
,,,Precision,DAAO: label there is just 'Training',Dropdown,Yes - all fields with 'Training and study' label are replicated,From DAAO,Recommended,
,,,Approximate,DAAO: label there is just 'Training',Checkbox,Yes - all fields with 'Training and study' label are replicated,N/A,Optional,
,,,End date,DAAO: label there is just 'Training',Year entry,Yes - all fields with 'Training and study' label are replicated,Year only,Recommended,
,,,Precision,DAAO: label there is just 'Training',Dropdown,Yes - all fields with 'Training and study' label are replicated,From DAAO,Recommended,
,,,Approximate,DAAO: label there is just 'Training',Checkbox,Yes - all fields with 'Training and study' label are replicated,N/A,Optional,
,,,Place (Name of Institution/Sanggar/Studio etc): ,New,Free text entry,Yes - all fields with 'Training and study' label are replicated,N/A,Recommended,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Training and study' label are replicated,Coordinates format,Recommended,
,,,URL,DAAO: label there is just 'Training',Free text entry,Yes - all fields with 'Training and study' label are replicated,N/A,Optional,
Practice history,,Professional information,Gallery/Agent name,DAAO,Free text entry,No,N/A,Recommended,
,,,Gallery/Agent place,New,Free text entry,No,N/A,Optional,
,,,Gallery/Agent location,New,Geographic coordinates entry,No,Coordinates format,Optional,
,,,Artist website,DAAO,Free text entry,No,N/A,Optional,
,,,Artist email,DAAO,Free text entry,No,N/A,Optional,
,,Groups/Societies/Associations,Name,New,Free text entry,Yes - all fields with 'Groups/Societies/Associations' label are replicated,N/A,Recommended,
,,,Nature of relationship,DAAO: label there is 'Related Groups',Dropdown,Yes - all fields with 'Groups/Societies/Associations' label are replicated,From DAAO,Recommended,
,,,Place,New,Free text entry,Yes - all fields with 'Groups/Societies/Associations' label are replicated,N/A,Optional,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Groups/Societies/Associations' label are replicated,Coordinates format,Optional,
,,,Note,DAAO: label there is 'Related Groups',Free text entry,Yes - all fields with 'Groups/Societies/Associations' label are replicated,N/A,Optional,
,,Collections,Name,New,Free text entry,Yes - all fields with 'Collections' label are replicated,N/A,Recommended,
,,,Nature of relationship,DAAO: label there is 'Related Collections',Dropdown,Yes - all fields with 'Collections' label are replicated,From DAAO,Recommended,
,,,Place,New,Free text entry,Yes - all fields with 'Collections' label are replicated,N/A,Optional,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Collections' label are replicated,Coordinates format,Optional,
,,,URL,New,Free text entry,Yes - all fields with 'Collections' label are replicated,N/A,Optional,
,,,Note,DAAO: label there is 'Related Collections',Free text entry,Yes - all fields with 'Collections' label are replicated,N/A,Optional,
,,Recognitions,Name,New,Free text entry,Yes - all fields with 'Recognitions' label are replicated,N/A,Recommended,
,,,Nature of relationship,DAAO: label there is 'Related Recognitions',Dropdown,Yes - all fields with 'Recognitions' label are replicated,From DAAO,Recommended,
,,,Place,New,Free text entry,Yes - all fields with 'Recognitions' label are replicated,N/A,Optional,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Recognitions' label are replicated,Coordinates format,Optional,
,,,Note,DAAO: label there is 'Related Recognitions',Free text entry,Yes - all fields with 'Recognitions' label are replicated,N/A,Optional,
,,Publications,Name,New,Free text entry,Yes - all fields with 'Publications' label are replicated,N/A,Recommended,
,,,Nature of relationship,New,Dropdown,Yes - all fields with 'Publications' label are replicated,From DAAO: taxonomy for 'Nature of relationship' field,Recommended,
,,,Place,New,Free text entry,Yes - all fields with 'Publications' label are replicated,N/A,Optional,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Publications' label are replicated,Coordinates format,Optional,
,,,Note,New,Free text entry,Yes - all fields with 'Publications' label are replicated,N/A,Optional,
,,Exhibitions,Nature of relationship,DAAO: label there is 'Related Events',Dropdown,Yes - all fields with 'Exhibitions' label are replicated,From DAAO,Recommended,
,,,Note,DAAO: label there is 'Related Events',Free text entry,Yes - all fields with 'Exhibitions' label are replicated,N/A,Optional,
,,,Exhibition search,New,Foreign key to Exhibition entity,Yes - all fields with 'Exhibitions' label are replicated,N/A,Recommended,
